id;short_name;address;postal_code;lat_location;long_location
1;Secured Program;the program Ghana;magnetic;60283;13018
2;back-end Plastic International;Wisconsin Chief Sports;cross-platform;76312;39365
3;port virtual;Savings parse;Rustic;27617;84003
4;Outdoors;pink;SCSI;14430;22612
5;Islands;up Licensed Forward;Accounts Venezuela Plastic;4833;81795
6;Regional Fully-configurable infrastructure;Illinois Fresh;Designer Austria;28235;9107
7;Principal mobile;infomediaries Guadeloupe Licensed;Missouri JBOD;50726;83838
8;Account Movies Stream;Licensed Forward;connect Toys Assurance;12684;18552
9;Plastic;synthesize CSS withdrawal;copying Tuna intranet;58715;36947
10;IB;Parks;utilisation Gardens;94081;94683
