id;event_name;event_description;start_date;end_date;is_active
970c1525-b957-43a9-b9b1-7838edbc569b;Distributed Streamlined;scalable;2021-05-29T12:15:42;2021-05-29T05:09:03;true
d91e768d-424e-4b62-896e-eac4c123e4e6;website Enhanced International;Home;2021-05-29T04:28:11;2021-05-29T09:36:35;false
6cc731a0-5acd-4574-92c9-a9acb6f0c7b3;implementation Hat;content Table HDD;2021-05-29T08:51:29;2021-05-29T02:11:01;false
27a7a874-0704-4bfa-b8f6-3a4b78563b34;Credit;Small dynamic payment;2021-05-29T13:25:08;2021-05-29T04:17:07;false
535d6c69-57ed-4849-8bfd-199bc78b833c;Borders Central;protocol function tan;2021-05-29T14:08:43;2021-05-29T15:51:09;true
1ae85773-0c0c-4db8-aed3-9586ef1fda20;silver Chair Cambridgeshire;Liaison Chips Dale;2021-05-29T13:32:13;2021-05-29T15:40:11;true
1ef05fc5-d368-4f3d-96f8-99564166471e;dynamic open;copy;2021-05-29T10:52:12;2021-05-29T07:44:24;false
9c46ac70-ea1e-4997-b146-3f8eda7943a9;Viaduct back-end;SDD Producer;2021-05-29T17:13:47;2021-05-29T10:58:29;true
5b6c2925-ce6c-450e-8b4d-36c9062af9cc;Fish Multi-layered;invoice high-level Legacy;2021-05-29T16:37:45;2021-05-29T14:04:01;true
5be65335-7ecf-495e-9f27-b0cc51e98206;Franc;parse;2021-05-29T21:12:12;2021-05-29T06:12:17;true
